GENESIS-Tabelle: 12411-0021
Bevölkerung: Bundesländer, Stichtag zum Quartalsende,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.03.1991;4799516;5050041;9849557;5571757;5904659;11476416;1631752;1803190;3434942;1244088;1328042;2572130;326341;355166;681507;787515;869271;1656786;2810643;2964470;5775113;931463;985046;1916509;3594920;3804336;7399256;8382075;8991725;17373800;1830766;1941905;3772671;518530;555215;1073745;2235677;2507528;4743205;1365097;1497489;2862586;1276176;1352604;2628780;1243034;1359322;2602356
30.06.1991;4822599;5065278;9887877;5599749;5921282;11521031;1634201;1803719;3437920;1239943;1323282;2563225;327516;355561;683077;789968;870756;1660724;2820994;2970293;5791287;927725;980855;1908580;3608887;3814826;7423713;8407470;9007419;17414889;1837954;1947108;3785062;519127;555430;1074557;2227041;2496324;4723365;1359691;1490255;2849946;1279581;1354501;2634082;1238255;1353418;2591673
30.09.1991;4854542;5090343;9944885;5632186;5943583;11575769;1637024;1804153;3441177;1235938;1316886;2552824;327310;355374;682684;791822;872258;1664080;2834714;2979816;5814530;923503;975012;1898515;3624737;3828283;7453020;8439806;9032373;17472179;1849391;1955019;3804410;519702;555713;1075415;2216542;2481686;4698228;1354302;1481381;2835683;1284799;1358579;2643378;1233869;1346257;2580126
31.12.1991;4881575;5120265;10001840;5639069;5956901;11595970;1640247;1805784;3446031;1231740;1310983;2542723;328227;355457;683684;795130;873627;1668757;2847270;2990060;5837330;920731;970926;1891657;3636515;3839275;7475790;8461410;9048456;17509866;1858846;1962389;3821235;520427;556452;1076879;2209397;2469480;4678877;1349595;1473729;2823324;1287605;1360927;2648532;1231319;1340750;2572069
31.03.1992;4897644;5127006;10024650;5654855;5965640;11620495;1642495;1804589;3447084;1229577;1306592;2536169;327972;355061;683033;797857;874568;1672425;2857220;2995721;5852941;919536;967516;1887052;3647638;3846213;7493851;8481466;9058948;17540414;1868918;1968047;3836965;520846;556538;1077384;2204020;2459617;4663637;1348171;1468428;2816599;1290023;1362560;2652583;1230617;1336587;2567204
30.06.1992;4926784;5148438;10075222;5685600;5985307;11670907;1647847;1806328;3454175;1226057;1301209;2527266;329045;355347;684392;799830;875357;1675187;2871589;3004890;5876479;918435;964905;1883340;3663343;3857855;7521198;8508117;9077259;17585376;1877568;1974591;3852159;521839;556933;1078772;2206123;2457422;4663545;1346246;1463760;2810006;1295212;1365372;2660584;1223949;1327157;2551106
30.09.1992;4952501;5168610;10121111;5720578;6010516;11731094;1652770;1807516;3460286;1236237;1306996;2543233;329865;355893;685758;803559;877492;1681051;2887959;3016355;5904314;913514;957291;1870805;3680977;3873832;7554809;8540326;9100255;17640581;1886924;1981838;3868762;523928;557903;1081831;2204681;2448433;4653114;1343134;1457246;2800380;1302223;1370009;2672232;1224559;1324383;2548942
31.12.1992;4966597;5182111;10148708;5741559;6028698;11770257;1656471;1809277;3465748;1238370;1304281;2542651;329987;355858;685845;809568;879217;1688785;2898330;3024309;5922639;911111;953869;1864980;3692928;3884592;7577520;8561996;9117170;17679166;1892925;1988040;3880965;525197;558810;1084007;2201259;2439738;4640997;1343254;1453727;2796981;1306114;1373461;2679575;1224415;1321393;2545808
31.03.1993;4977482;5190982;10168464;5754847;6038458;11793305;1659493;1808678;3468171;1243665;1304256;2547921;329723;355245;684968;814586;881301;1695887;2907925;3029303;5937228;906808;948113;1854921;3701028;3892399;7593427;8577233;9123722;17700955;1900041;1992100;3892141;525437;558686;1084123;2198732;2432858;4631590;1341928;1450554;2792482;1308115;1375218;2683333;1222757;1317571;2540328
